G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2021_07_12_11_15_28_407.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2021_07_12_11_15_28_407.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2021_07_12_11_15_28_407.jpg,0,0,0,7.309509E-05
G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2021_07_12_11_15_28_478.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2021_07_12_11_15_28_478.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2021_07_12_11_15_28_478.jpg,0,0.1023768,0,0.05347703
G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2021_07_12_11_15_28_549.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2021_07_12_11_15_28_549.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2021_07_12_11_15_28_549.jpg,0,0.347199,0,0.2298947
G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2021_07_12_11_15_28_619.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2021_07_12_11_15_28_619.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2021_07_12_11_15_28_619.jpg,0,0.5143362,0,0.5650679
G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2021_07_12_11_15_28_692.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2021_07_12_11_15_28_692.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2021_07_12_11_15_28_692.jpg,0,0.7507395,0,1.195993
G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2021_07_12_11_15_28_766.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2021_07_12_11_15_28_766.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2021_07_12_11_15_28_766.jpg,0,0.997094,0,2.090552
G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2021_07_12_11_15_28_838.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2021_07_12_11_15_28_838.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2021_07_12_11_15_28_838.jpg,0,1,0,2.799905
G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2021_07_12_11_15_28_912.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2021_07_12_11_15_28_912.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2021_07_12_11_15_28_912.jpg,0,1,0,3.736524
G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2021_07_12_11_15_28_980.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2021_07_12_11_15_28_980.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2021_07_12_11_15_28_980.jpg,0,1,0,4.440283
G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2021_07_12_11_15_29_048.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2021_07_12_11_15_29_048.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2021_07_12_11_15_29_048.jpg,0,1,0,5.370293
G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2021_07_12_11_15_29_120.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2021_07_12_11_15_29_120.jpg,G:\Self_driving_car\Behavior Cloning\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2021_07_12_11_15_29_120.jpg,0,1,0,6.063177
